Page URL,Structured data,Field,Issue description,Discovered
https://siteoptz.ai/reviews/aphra,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/apify,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/apify,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/apollo-io,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/apollo-io,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/appointwise,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/appointwise,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aptlystar-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aptlystar-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/archigen,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/archigen,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/archive,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/archive,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/arcwise,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/arcwise,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/athenic-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/athenic-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/audiox,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/audiox,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/auralis-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/auralis-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/auraticai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/auraticai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/autolocalise,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/autolocalise,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/autonomops-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/autonomops-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/autoreel,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/autoreel,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aview,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aview,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/awaz-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/awaz-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/baz,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/baz,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/beeble-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/beeble-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/beesift,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/beesift,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bertha-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bertha-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/betterstudio,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/betterstudio,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bismuth,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bismuth,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bit-flows,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bit-flows,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bizora,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bizora,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/blaze-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/blaze-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/blink,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/blink,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/blok,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/blok,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bluebarry-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bluebarry-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bondmcp,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bondmcp,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bookread,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bookread,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/botric-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/botric-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bottr-your-personal-ai-assistant,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bottr-your-personal-ai-assistant,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bounti-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bounti-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brainybear-easily-build-ai-chatbots,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brainybear-easily-build-ai-chatbots,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/branchbob,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/branchbob,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandlife,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandlife,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandlift,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandlift,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandolia,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandolia,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandwiz,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brandwiz,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bravo-studio,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/bravo-studio,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brewprompts,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/brewprompts,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/broadn,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/broadn,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/browse-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/browse-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/browseract,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/browseract,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buffer,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buffer,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buffer-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buffer-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buildship-tools,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buildship-tools,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buyertwin,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buyertwin,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buzzclip,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/buzzclip,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/caimera-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/caimera-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/canva-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/canva-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/carboncopy,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/carboncopy,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/castmagic,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/castmagic,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/causaly,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/causaly,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/cavya-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/cavya-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ccx-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ccx-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chat-thing,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chat-thing,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chat4data,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chat4data,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatbit,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatbit,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatgpt,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatgpt,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatgpt-enterprise,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatgpt-enterprise,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatgpt-exporter,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/chatgpt-exporter,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
